"Numer porządkowy (a)","Nazwa chemiczna/INN (b)","Numer CAS (c)","Numer WE (d)"
"1558","Bifentryna (ISO); rel-(1R,3R)-3-[(1Z)-2-chloro-3,3,3-trifluoroprop-1-en-1-ylo]-2,2-dimetylocyklopropanokarboksylan (2-metylobifenylo-3-ilo)metylu","82657-04-3","617-373-6"
"1559","Ftalan diheksylu","84-75-3","201-559-5"
"1560","Pentadekafluorooktanian amonu","3825-26-1","223-320-4"
"1561","Kwas perfluorooktanowy","335-67-1","206-397-9"
"1562","N-etylo-2-pirolidon; 1-etylopirolidyn-2-on","2687-91-4","220-250-6"
"1563","Prochinazyd (ISO); 6-jodo-2-propoksy-3-propylochinazolino-4(3H)-on","189278-12-4","606-168-7"
"1564","Arsenek galu","1303-00-0","215-114-8"
"1565","Octan winylu","108-05-4","203-545-4"
"1566","Aklonifen (ISO); 2-chloro-6-nitro-3-fenoksyanilina","74070-46-5","277-704-1"
"1567","2-etyloheksyl 10-etylo-4,4-dimetylo-7-okso-8-oksa-3,5-ditia-4-tetradodekanianu cyny","57583-35-4","260-829-0"
"1568","Dichlorek dimetylocyny","753-73-1","212-039-2"
"1569","4-winylocykloheksen","100-40-3","202-848-9"
"1570","Tralkoksydym (ISO); 2-(N-etoksypropanoimidoilo)-3-hydroksy-5-mezytylocykloheks-2-en-1-on","87820-88-0","618-075-9"
"1571","Cykloksydym (ISO); 2-(N-etoksybutanoimidoilo)-3-hydroksy-5-(tetrahydro-2H-tiopiran-3-ylo)cycloheks-2-en-1-on","101205-02-1","405-230-9"
"1572","Fluazynam (ISO); 3-chloro-N-[3-chloro-2,6-dinitro-4-(trifluorometylo)fenylo]-5-(trifluorometylo)pirydyno-2-amina","79622-59-6","616-712-5"
"1573","Penkonazol (ISO); 1-[2-(2,4-dichlorofenylo)pentylo]-1H-1,2,4-triazol","66246-88-6","266-275-6"
"1574","Fenoksykarb (ISO); [2-(4-fenoksyfenoksy)etylo]karbaminian etylu","72490-01-8","276-696-7"
"1575","Styren","100-42-5","202-851-5"
"1576","Tetrahydro-2-furylometanol; alkohol tetrahydrofurfurylowy","97-99-4","202-625-6"
"1577","Formaldehyd","50-00-0","200-001-8"
"1578","Paraformaldehyd","30525-89-4","608-494-5"
"1579","Metanodiol; glikol metylenowy","463-57-0","207-339-5"
"1580","Cymoksanil (ISO); 2-cyjano-N-[(etyloamino)karbonylo]-2-(metoksyimino)acetamid","57966-95-7","261-043-0"
"1581","Związki tributylocyny","—","—"
"1582","Tembotrion (ISO); 2-{2-chloro-4-(metylosulfonylo)-3-[(2,2,2-trifluoroetoksy)metylo]benzoilo}cykloheksano-1,3-dion","335104-84-2","608-879-8"
"1583","Kwas 1,2-benzenodikarboksylowy, ester diheksylowy, rozgałęziony i liniowy","68515-50-4","271-093-5"
"1584","Spirotetramat (ISO); węglan (5s,8s)-3-(2,5-dimetylofenylo)-8-metoksy-2-okso-1-azaspiro[4,5]dec-3-en-4-etylu","203313-25-1","606-523-6"
"1585","Octan dodemorfu; octan 4-cyklododecylo-2,6-dimetylomorfoliny-4-ium","31717-87-0","250-778-2"
"1586","Triflusulfuron metylu; 2-({[4-(dimetyloamino)-6-(2,2,2-trifluoroetoksy)-1,3,5-triazyno-2-ylo]karbamoilo}sulfamoilo)-3-metylobenzoesan metylu","126535-15-7","603-146-9"
"1587","Imazalil (ISO); 1-[2-alliloksy-2-(2,4-dichlorofenylo)etylo]-1H-imidazol","35554-44-0","252-615-0"
"1588","Dodemorf (ISO); 4-cyklododecylo-2,6-dimetylomorfolina","1593-77-7","216-474-9"
"1589","Imidazol","288-32-4","206-019-2"
"1590","Lenacyl (ISO); 3-cykloheksylo-6,7-dihydro-1H-cyklopenta[d]pirymidyno-2,4(3H,5H)-dion","2164-08-1","218-499-0"
"1591","Metosulam (ISO); N-(2,6-dichloro-3-metylofenylo)-5,7-dimetoksy[1,2,4]triazolo[1,5-a]pirymidyno-2-sulfonamid","139528-85-1","604-145-6"
"1592","2-metylo-1-[4-(metylosulfanylo)fenylo]-2-morfolinopropan-1-on","71868-10-5","400-600-6"
"1593","Metakrylan 2,3-epoksypropylu; metakrylan glicydowy","106-91-2","203-441-9"
"1594","Spiroksamina (ISO); 8-tert-butylo-1,4-dioksaspiro[4,5]dekan-2-ylometylo)(etylo)propyloamina","118134-30-8","601-505-4"
"1595","Cyjanamid; karbanonitryl","420-04-2","206-992-3"
"1596","Cyprokonazol (ISO); (2RS,3RS;2RS,3SR)-2-(4-chlorofenylo)-3-cyklopropylo-1-(1H-1,2,4-triazol-1-ilo)butan-2-ol","94361-06-5","619-020-1"
"1597","Zeolit zawierający srebro i cynk","130328-20-0","603-404-0"
"1598","Węglan kadmu","513-78-0","208-168-9"
"1599","Wodorotlenek kadmu; diwodorotlenek kadmu","21041-95-2","244-168-5"
"1600","Azotan kadmu; diazotan kadmu","10325-94-7","233-710-6"
"1601","Dilaurynian dibutylocyny; dibutyl[bis(dodekanoiloksy)] wodorek cyny","77-58-7","201-039-8"
"1602","Klorofen; chlorofen; 2-benzylo-4-chlorofenol","120-32-1","204-385-8"
"1603","Antrachinon","84-65-1","201-549-0"
"1604","Kwas nonadekafluorodekanowy [1], <br>Nonadekafluorodekanian amonu [2], <br>Nonadekafluorodekanian sodu [3]","335-76-2 [1], <br>3108-42-7 [2], <br>3830-45-3 [3]","206-400-3[1], <br>221-470-5 [2] [3]"
"1605","N,N′-metylenodimorfolina; N,N′-metylenobismorfolina; [formaldehyd uwolniony z N,N′-metylenobismorfoliny]; [MBM] jeżeli maksymalne teoretyczne stężenie uwalnianego formaldehydu, niezależnie od źródła, w mieszaninie wprowadzanej do obrotu jest ≥ 0,1 % w/w","5625-90-1","227-062-3"
"1606","Produkty reakcji paraformaldehydu i 2-hydroksypropyloaminy (3:2); [formaldehyd uwolniony z 3,3′-metylenobis[5–metyloksazolidyny]; [formaldehyd uwolniony z oksazolidyny]; [MBO] jeżeli maksymalne teoretyczne stężenie uwalnianego formaldehydu, niezależnie od źródła, w mieszaninie wprowadzanej do obrotu jest ≥ 0,1 % w/w","—","—"
"1607","Produkty reakcji paraformaldehydu i 2-hydroksypropyloaminy (1:1); [formaldehyd uwolniony z α,α,α-trimetylo-1,3,5-triazyno-1,3,5 (2H,4H,6H)-trietanolu]; [HPT] jeżeli maksymalne teoretyczne stężenie uwalnianego formaldehydu, niezależnie od źródła, w mieszaninie wprowadzanej do obrotu jest ≥ 0,1 % w/w","—","—"
"1608","Metylohydrazyna","60-34-4","200-471-4"
"1609","Triadimenol (ISO); (1RS,2RS;1RS,2SR)-1-(4-chlorofenoksy)-3,3-dimetylo-1-(1H-1,2,4-triazol-1-ilo)butan-2-ol; α-tert-butylo-β-(4-chlorofenoksy)-1H-1,2,4-triazolo-1-etanol","55219-65-3","259-537-6"
"1610","Tiaklopryd (ISO); (Z)-3-(6-chloro-3-pirydylo-metylo)-1-3-tiazolidyn-2-ylidenocyjanamid; {(2Z)-3-[(6-chloropirydyno-3-ilo)metylo]-1,3-tiazolidyn-2-ylideno}cyjanamid","111988-49-9","601-147-9"
"1611","Karbetamid (ISO) karbanilan (R)-1-(etylokarbamoilo)etylu; fenylokarbaminian (2R)-1-(etyloamino)-1-oksopro-pano-2-ilu","16118-49-3","240-286-6"
"1612","Fosmet (ISO); fosforoditionian S-[(1,3-diokso-1,3-dihydro-2H-izoindol-2-ilo)metylo]-O,O-dimetylu; ditiofosforan S-ftalimidometylu-O,O-dimetylu","732-11-6","211-987-4"
"1613","Nadmanganian potasu","7722-64-7","231-760-3"
"1614","2-benzylo-2-dimetyloamino-4′-morfolinobutyrofenon","119313-12-1","404-360-3"
"1615","Chizalofop-p-tefurylowy (ISO); (R)-2-[4-(6-chlorochinoksalin-2-yloksy)fenyloksy]propionian (+/–) tetrahydrofurfurylu","200509-41-7","414-200-4"
"1616","Propikonazol (ISO); (2RS,4RS;2RS,4SR)-1-{[2-(2,4-dichlorofenylo)-4-propylo-1,3-dioksolan-2-ylo]metylo}-1H-1,2,4-triazol","60207-90-1","262-104-4"
"1617","Pinoksaden (ISO); 2,2-dimetylopropionian 8-(2,6-dietylo-4-metylofenylo)-7-okso-1,2,4,5-tetrahydro-7H-pirazolo[1,2-d][1,4,5]oksadiazepin-9-ylu","243973-20-8","635-361-9"
"1618","Tetrametryna (ISO); 2,2-dimetylo-3-(2-metyloprop-1-en-1-ylo)cyklopropanokarboksylan (1,3-diokso-1,3,4,5,6,7-heksahydro-2H-izoindol-2-ilo)metylu","7696-12-0","231-711-6"
"1619","(1R-trans)-2,2-dimetylo-3-(2-metyloprop-1-enylo)cyklopropanokarboksylan (1,3,4,5,6,7-heksahydro-1,3-diokso-2H-izoindol-2-ilo)metylu","1166-46-7","214-619-0"
"1620","Spirodiklofen (ISO); 2,2-dimetylobutanian 3-(2,4-dichlorofenylo)-2-okso-1-oksaspiro[4,5]dec-3-en-4-ylu","148477-71-8","604-636-5"
"1621","Masa poreakcyjna 1-[2-(2-aminobutoksy)etoksy]but-2-yloaminy i 1-({[2-(2-aminobutoksy)etoksy]metylo}propoksy)but-2-yloaminy","897393-42-9","447-920-2"
"1622","1-winyloimidazol","1072-63-5","214-012-0"
"1623","Amisulbrom (ISO); 3-(3-bromo-6-fluoro-2-metyloindol-1-ilosulfonylo)-N,N-dimetylo-1H-1,2,4-triazolo-1-sulfonamid","348635-87-0","672-776-4"
"1624","Pirymikarb (ISO); dimetylokarbaminian 2-(dimetyloamino)-5,6-dimetylopirymidyn-4-ylu","23103-98-2","245-430-1"
"1625","1,2-dichloropropan; dichlorek propylenu","78-87-5","201-152-2"
"1626","Rozgałęziony dodecylofenol [1], <br>Rozgałęziony 2-dodecylofenol [2], <br>Rozgałęziony 3-dodecylofenol [3], <br>Rozgałęziony 4-dodecylofenol [4], <br>Pochodne (tetrapropenylo)fenolu [5]","121158-58-5 [1], <br>1801269-80-6 [2], <br>1801269-77-1 [3], <br>210555-94-5 [4], <br>74499-35-7 [5]","310-154-3 [1], <br>- [2], <br>- [3], <br>640-104-9 [4], <br>616-100-8 [5]"
"1627","Kumatetralyl (ISO); 4-hydroksy-3-(1,2,3,4-tetrahydro-1-naftylo)kumaryna","5836-29-3","227-424-0"
"1628","Difenakum (ISO); 3-(3-bifenyl-4-ilo-1,2,3,4-tetrahydro-1-naftylo)4-hydroksykumaryna","56073-07-5","259-978-4"
"1629","Brodifakum (ISO); 4-hydroksy-3-(3-(4′-bromo-4-bifenylilo)-1,2,3,4-tetrahydro-1-naftylo)kumaryna","56073-10-0","259-980-5"
"1630","Flokumafen (ISO); masa poreakcyjna cis-4-hydroksy-3-(1,2,3,4-tetrahydro-3-(4-(4-trifluorometylobenzyloksy)fenylo)-1-naftylo)kumaryny i trans-4-hydroksy-3-(1,2,3,4-tetrahydro-3-(4-(4-trifluorometylobenzyloksy)fenylo)-1-naftylo)kumaryny","90035-08-8","421-960-0"
"1631","Acetochlor (ISO); 2-chloro-N-(etoksymetylo)-N-(2-etylo-6-metylofenylo)acetamid","34256-82-1","251-899-3"
"1632","Włókna szklane typu E o reprezentatywnym składzie","—","—"
"1633","Włókna szklane o reprezentatywnym składzie","—","—"
"1634","Bromadiolon (ISO); 3-[3-(4′-bromobifenyl-4-ilo)-3-hydroksy-1-fenylopropylo]-4-hydroksy-2H-chromen-2-on","28772-56-7","249-205-9"
"1635","Difetialon (ISO); 3-[3-(4′-bromobifenyl-4-ilo)-1,2,3,4-tetrahydronaftalen-1-ilo]-4-hydroksy-2H-1-benzotiopiran-2-on","104653-34-1","600-594-7"
"1636","Kwas perfluorononan-1-owy [1], <br>oraz jego sole sodowe [2], <br>i amonowe [3]","375-95-1 [1], <br>21049-39-8 [2], <br>4149-60-4 [3]","206-801-3 [1], <br>- [2], <br>- [3]"
"1637","Ftalan dicykloheksylu","84-61-7","201-545-9"
"1638","3,7-dimetylookta-2,6-dienonitryl","5146-66-7","225-918-0"
"1639","Bupirymat (ISO); Dimetylosulfaminian 5-butylo-2-etylamino-6-metylopirymidyn-4-ylu","41483-43-6","255-391-2"
"1640","Triflumizol (ISO); (1E)-N-[4-chloro-2-(trifluorometylo)fenylo]-1-(1H-imidazol-1-ilo)-2-propoksyetanimina","68694-11-1","604-708-8"
"1641","Hydronadtlenek tert-butylu","75-91-2","200-915-7"
"1642","1,2,4-trihydroksybenzen <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Począwszy od dnia 3 września 2021 r., nie wprowadza się do obrotu w Unii produktów do farbowania włosów i rzęs zawierających te substancje. Począwszy od dnia 3 czerwca 2022 r., nie udostępnia się na rynku unijnym produktów do farbowania włosów i rzęs zawierających te substancje.'>(10)</span></sup>, stosowany jako substancja w produktach do farbowania włosów i rzęs","533-73-3","208-575-1"
"1643","4-amino-3-hydroksytoluen <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Począwszy od dnia 3 września 2021 r., nie wprowadza się do obrotu w Unii produktów do farbowania włosów i rzęs zawierających te substancje. Począwszy od dnia 3 czerwca 2022 r., nie udostępnia się na rynku unijnym produktów do farbowania włosów i rzęs zawierających te substancje.'>(10)</span></sup>, stosowany jako substancja w produktach do farbowania włosów i rzęs","2835 -98-5","220-620-7"
"1644","Kwas 2-[(4-amino-2-nitrofenylo)-amino]benzoesowy <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Począwszy od dnia 3 września 2021 r., nie wprowadza się do obrotu w Unii produktów do farbowania włosów i rzęs zawierających te substancje. Począwszy od dnia 3 czerwca 2022 r., nie udostępnia się na rynku unijnym produktów do farbowania włosów i rzęs zawierających te substancje.'>(10)</span></sup>, stosowany jako substancja w produktach do farbowania włosów i rzęs","117907-43-4","411-260-3"
"1645","Kobalt","7440-48-4","231-158-0"
"1646","Metaldehyd (ISO); 2,4,6,8-tetrametylo-1,3,5,7-tetraoksacyklooktan","108-62-3","203-600-2"
"1647","Chlorek metylortęci","115-09-3","204-064-2"
"1648","Benzo[rst]pentafen","189-55-9","205-877-5"
"1649","Dibenzo[b,def]chryzen; dibenzo[a,h]piren","189-64-0","205-878-0"
"1650","Etanol, 2,2’-iminobis-, N-(C13-15-rozgałęzione i liniowe alkilopochodne)","97925-95-6","308-208-6"
"1651","Cyflumetofen (ISO); (RS)-2-(4-tert-butylofenylo)-2-cyjano-3-okso-3-(α,α,α-trifluoro-o-tolilo)propionian 2-metoksyetylu","400882-07-7","-"
"1652","Ftalan diizoheksylu","71850-09-4","276-090-2"
"1653","Halosulfuron metylu (ISO); 3-chloro-5-{[(4,6-dimetoksypirymidyn-2-ilo)karbamoilo]sulfamoilo}-1-metylo-1H-pirazolo-4-karboksylan metylu","100784-20-1","-"
"1654","2-metyloimidazol","693-98-1","211-765-7"
"1655","Metaflumizon (ISO); (EZ)-2’-[2-(4-cyjanofenylo)-1-(α,α,α-trifluoro-m-tolilo)etylideno]-[4-(trifluorometoksy)fenylo]karbanilohydrazyd [izomer E ≥ 90 %, izomer Z ≤ 10 % proporcjonalnej zawartości]; [1] <br>(E)-2’-[2-(4-cyjanofenylo)-1-(α,α,α-trifluoro-m-tolilo)etylideno]-[4-(trifluorometoksy)fenylo]karbanilohydrazyd [2]","139968-49-3 [1] <br>852403-68-0 [2]","-"
"1656","Dibutylobis(pentano-2,4-dionato-O,O’)cyna","22673-19-4","245-152-0"
"1657","4-[(tetrahydro-2H-piran-2-ylo)oksy]fenol (deoksyarbutyna, Tetrahydropyranyloxy Phenol)","53936-56-4",
"1658","włókna węglika krzemu (o średnicy < 3 μm, długości > 5 μm i wskaźniku kształtu ≥ 3: 1)","409-21-2 308076-74-6","206-991-8"
"1659","tris(2-metoksyetoksy) winylosilan; 6-(2-metoksyetoksy)-6-winylo-2,5,7,10-tetraoksa-6-silaundekan","1067-53-4","213-934-0"
"1660","dilaurynian dioktylocyny; [1] <br>dioktylo-, bis(koko acyloksy) pochodne wodorku cyny [2]","3648-18-8 [1] <br>91648- 39-4 [2]","222-883-3 [1] <br>293-901-5 [2]"
"1661","dibenzo[def,p]chryzen; dibenzo[a,l]piren","191-30-0","205-886-4"
"1662","ipkonazol (ISO); (1RS,2SR,5RS;1RS,2SR,5SR)-2-(4-chlorobenzylo)-5-izopropylo-1-(1H-1,2,4-triazol-1-ilometylo)cyklopentanol","125225-28-7 115850-69-6 115937-89-8","-"
"1663","eter bis(2-(2-metoksyetoksy) etylowy; tetraglym","143-24-8","205-594-7"
"1664","paklobutrazol (ISO); (2RS,3RS)-1-(4-chlorofenylo)-4,4-dimetylo2-(1H-1,2,4-triazol-1-il)pentan-3-ol","76738-62-0","-"
"1665","2,2-bis(bromometylo)propano-1,3-diol","3296-90-0","221-967-7"
"1666","aldehyd 2-(4-tert-butylobenzylo)propionowy","80-54-6","201-289-8"
"1667","ftalan diizooktylu","27554-26-3","248-523-5"
"1668","akrylan 2-metoksyetylu","3121-61-7","221-499-3"
"1670","pirytionian cynku; (T-4)-bis[1-(hydroksy-.kappa.O)pirydyno-2(1H)-tionato-.kappa.S]cynk","13463-41-7","236-671-3"
"1671","flurochloridon (ISO); 3-chloro-4-(chlorometylo)-1-[3-(trifluorometylo)fenylo]pirolidyn-2-on","61213-25-0","262-661-3"
"1672","3-(difluorometylo)-1-metylo-N-(3’,4’,5’-trifluorobifenylo-2-ilo)pirazolo-4-karboksyamid; fluksapyroksad","907204-31-3","-"
"1673","N-(hydroksymetylo)akrylamid; metylolakrylamid; [NMA]","924-42-5","213-103-2"
"1674","5-fluoro-1,3-dimetylo-N-[2-(4-metylopentano-2-ilo)fenylo]-1H-pirazolo4-karboksamid; 2'-[(RS)-1,3-dimetylobutylo]-5-fluoro-1,3-dimetylopirazolo-4-karboksanilid; penflufen;","494793-67-8","-"
"1675","iprowalikarb (ISO); [(2S)-3-metylo-1-[1-(4-metylofenylo)etylo]amino-1-oksobutan-2-ylo]karbaminian izopropylu","140923-17-7","-"
"1676","dichlorodioktylostannan","3542-36-7","222-583-2"
"1677","mezotrion (ISO); 2-[4-(metylosulfonylo)2-nitrobenzoilo]-cykloheksano-1,3-dion","104206-82-8","-"
"1678","hymeksazol (ISO); 3-hydroksy-5-metyloizoksazol","10004-44-1","233-000-6"
"1679","imiprotrin (ISO); masa poreakcyjna: [2,4-diokso-(2-propyn-1-ylo)imidazolidyn-3-ylo]metylo(1R)-cis-chryzantemian; [2,4-diokso-(2-propyn-1-ylo)imidazolidyn-3-ylo]metylo(1R)-trans-chryzantemian","72963-72-5","428-790-6"
"1680","Nadtlenek bis(α,α-dimetylobenzylu)","80-43-3","201-279-3"
"1681","tetrafluoroetylen","116-14-3","204-126-9"
"1682","6,6’-di-tert-butylo-2,2’-metylenedi-p-krezol; [DBMC]","119-47-1","204-327-1"
"1683","(5-chloro-2-metoksy-4-metylo-3-pirydylo)(4,5,6-trimetoksy-o-tolilo)metanon; pyriofenon","688046-61-9","692-456-8"
"1684","węglan metylowy (RS)-1-{1-etylo-4-[4-mezylo-3-(2-metoksyetoksy)-o-toluoilo]pirazolo-5-iloksy}etylu; tolpiralat","1101132-67-5","701-225-3"
"1685","Azametifos (ISO); S-[(6-chloro-2-oksooksazolo[4,5-b]pirydyno-3(2H)-yl)metylo] O, O-dimetylo tiofosforan","35575-96-3","252-626-0"
"1686","3-metylopirazol","1453-58-3","215-925-7"
"1687","N-metoksy-N-[1-metylo-2-(2,4,6-trichlorofenylo)-etylo]-3-(difluorometylo)-1-metylpirazolo-4-karboksyamid; pydiflumetofen;","1228284-64-7","817-852-1"
"1688","N-2-[[1,1’-bi(cyklopropylo)]-2-ilo]fenylo-3-(difluorometylo)-1-metylo-1H-pirazolo-4-karboksyamid; sedaksan","874967-67-6","688-331-2"
"1689","4-metylopentan-2-on; keton izobutylowo-metylowy (MIBK)","108-10-1","203-550-1"
"1690","dimetomorf (ISO); (E,Z) 4-(3-(4-chlorofenylo)-3-(3,4-dimetoksyfenylo)akryloilo)morfolina","110488-70-5","404-200-2"
"1691","imazamoks (ISO); kwas (RS)-2-(4-izopropylo-4-metylo-5-okso-2-imidazolin-2-ilo)-5-metoksymetylonikotynowy","114311-32-9","601-305-7"
"1692","tiametoksam (ISO); 3-(2-chloro-tiazol-5-ilometylo)-5-metylo[1,3,5]oksadiazyn-4-ylideno-N-nitroamina","153719-23-4","428-650-4"
"1693","tritikonazol (ISO); (RS)-(E)-5-(4-chlorobenzylideno)-2,2-dimetylo-1-(1H-1,2,4-triazolo-1-metylo)cyklopentanol","138182-18-0","-"
"1694","desmedifam (ISO); 3-fenylokarbamoiloksyfenylokarbamian etylu;","13684-56-5","237-198-5"
"1695","Bromek amonu","12124-97-9","235-183-8"
"1696","Bis(2-etyloheksanian) dibutyliny","2781-10-4","220-481-2"
"1697","Di(octan) dibutyliny","1067-33-0","213-928-8"
"1698","Ditlenek telluru","7446-07-3","231-193-1"
"1699","Tetratlenek diboru i baru","13701-59-2","237-222-4"
"1700","2,2-dimetylopropan-1-ol, tribromo pochodna 3-bromo-2,2-bis(bromometylo)propan-1-ol","36483-57-5 / 1522-92-5","253-057-0 / -"
"1701","2,4,6-tri-tert-butylofenol","732-26-3","211-989-5"
"1702","4,4’-sulfonylodifenol; bisfenol S","80-09-1","201-250-5"
"1703","Benzofenon","119-61-9","204-337-6"
"1704","Chinoklamina (ISO); 2-amino-3-chloronaftaleno-1,4-dion","2797-51-5","220-529-2"
"1705","kwas perfluoroheptanowy; kwas tridekafluoroheptanowy","375-85-9","206-798-9"
"1706","N-(izopropoksykarbonylo)-L-walilo-(3RS)-3-(4-chlorofenylo)-β-alaninian metylu; walifenalat","283159-90-0","608-192-3"
"1707","Kwas 6-[C12-18-alkilo-(rozgałęziony, nienasycony)-2,5-dioksopirolidyn-1-ylo]heksanowy i sole tris(2-hydroksyetylo)amoniowe","-","701-271-4"
"1708","Kwas 6-[(C10-C13)-alkilo-(rozgałęziony, nienasycony)-2,5-dioksopirolidyn-1-ylo]heksanowy","2156592-54-8","701-118-1"
"1709","Kwas 6-[(C12-18)-alkilo-(rozgałęziony, nienasycony)-2,5-dioksopirolidyn-1-ylo]heksanowy","-","701-162-1"
"1710","Teofilina; 3,7-dihydro-1,3-dimetylo-1H-puryno-2,6-dion","58-55-9","200-385-7"
"1711","2,4,6-triamino-1,3,5-triazyna; melamina","108-78-1","203-615-4"
"1712","Fluopikolid (ISO); 2,6-dichloro-N-[3-chloro-5-(trifluorometylo)-2-pirydylometylo]benzamid","607-285-6","239110-15-7"
"1713","Triamid kwasu N-(2-nitrofenylo)fosforowego","874819-71-3","477-690-9"
"1714","N-(5-chloro-2-izopropylobenzylo)-N-cyklopropylo-3-(difluorometylo)-5-fluoro-1-metylo-1H-pirazolo-4-karboksyamid; izoflucypram","1255734-28-1","811-438-4"
"1715","Masa reakcji 3-(difluorometylo)-1-metylo-N-[(1RS,4SR,9RS)-1,2,3,4-tetrahydro-9-izopropylo-1,4-metanonaftalen-5-ylo]pirazolo-4-karboksyamidu oraz 3-(difluorometylo)-1-metylo-N-[(1RS,4SR,9SR)-1,2,3,4-tetrahydro-9-izopropylo-1,4-metanonaftalen-5-ylo]pirazolo-4-karboksyamidu [względna zawartość ≥ 78 % izomerów syn ≤ 15 % izomerów anti]; izopyrazam","881685-58-1","632-619-2"
"1716","Ekstrakt z margosy [z ziaren Azadirachta indica, ekstrahowany za pomocą wody, a następnie przetworzony za pomocą rozpuszczalników organicznych]","84696-25-3","283-644-7"
"1717","Kumen","98-82-8","202-704-5"
"1718","Diakrylan 2-etylo-2-[(1-oksoalilo)oksy]metylo]-1,3-propanodiylu; akrylan 2,2-bis(akryloksymetylo)butylu; triakrylan trimetylopropanu","15625-89-5","239-701-3"
"1719","2,2’,2”,2”’,2””(etano-1,2-diylonitrylo)pentaoctan pentapotasu","7216-95-7","404-290-3"
"1720","N-karboksymetyloiminobis(etylenonitrylo)tetra(kwas octowy); kwas pentetynowy (INCI)","67-43-6","200-652-8"
"1721","(Karboksylatometylo)iminobis(etylenonitrylo)tetraoctan pentasodu Pentetanian pentasodu (INCI)","140-01-2","205-391-3"
"1722","Acetamipryd (ISO); (1E)-N-[(6-chloropirydyn-3-ylo)metylo]-N’-cyjano-N-metyloetanoimidamid; (E)-N1-[(6-chloro-3-pirydylo)metylo]-N2-cyjano-N1-metyloacetamidyna","135410-20-7 / 160430-64-8","603-921-1 / 682-791-8"
"1723","Pendimetalina (ISO); N-(1-etylopropylo)-2,6-dinitro-3,4-ksyliden","40487-42-1","254-938-2"
"1724","Bentazon (ISO); 2,2-ditlenek 3-izopropylo-2,1,3-benzotiadiazin-4-onu","25057-89-0","246-585-8"
"1725","Styrene/Acrylates Copolymer (nano) [INCI] <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Począwszy od dnia 1 lutego 2025 r., nie wprowadza się do obrotu w Unii produktów kosmetycznych zawierających tę substancję. Począwszy od dnia 1 listopada 2025 r., nie udostępnia się na rynku w Unii produktów kosmetycznych zawierających tę substancję.'>(11)</span></sup><br>Sodium Styrene/Acrylates Copolymer (nano) [INCI]<sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Począwszy od dnia 1 lutego 2025 r., nie wprowadza się do obrotu w Unii produktów kosmetycznych zawierających tę substancję. Począwszy od dnia 1 listopada 2025 r., nie udostępnia się na rynku w Unii produktów kosmetycznych zawierających tę substancję.'>(11)</span></sup>","9010-92-8","927-710-1"
"1726","Copper (nano) [INCI] <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Począwszy od dnia 1 lutego 2025 r., nie wprowadza się do obrotu w Unii produktów kosmetycznych zawierających tę substancję. Począwszy od dnia 1 listopada 2025 r., nie udostępnia się na rynku w Unii produktów kosmetycznych zawierających tę substancję.'>(11)</span></sup>, Colloidal Copper (nano) [INCI] <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Począwszy od dnia 1 lutego 2025 r., nie wprowadza się do obrotu w Unii produktów kosmetycznych zawierających tę substancję. Począwszy od dnia 1 listopada 2025 r., nie udostępnia się na rynku w Unii produktów kosmetycznych zawierających tę substancję.'>(11)</span></sup>","7440-50-8","231-159-6"
"1727","Colloidal Silver (nano) [INCI] <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Począwszy od dnia 1 lutego 2025 r., nie wprowadza się do obrotu w Unii produktów kosmetycznych zawierających tę substancję. Począwszy od dnia 1 listopada 2025 r., nie udostępnia się na rynku w Unii produktów kosmetycznych zawierających tę substancję.'>(11)</span></sup>","7440-22-4","231-131-3"
