"Numer porządkowy (a)","Nazwa chemiczna/INN (b)","Nazwa w słowniku wspólnych nazw składników (c)","Nr CAS (d)","Nr WE (e)","Rodzaj produktu, części ciała (f)","Maksymalne stężenie w preparacie gotowym do użycia (g)","Inne (h)","Warunki i ostrzeżenia na opakowaniach (i)"
"318","4-[(2-hydroksy-1-naftylo)azo]benzenosulfonian sodu","Acid Orange 7","633-96-5","211-199-0","Substancja do farbowania włosów w nieutleniających produktach do farbowania włosów","Od dnia 3 czerwca 2021 r.: 0,5 %",,
"319","4,4’-(4,5,6,7-tetrabromo-1,1-dioksydo-3H-2,1-benzoksatiol-3-ylideno)bis[2,6-dibromofenol","Tetrabromophenol Blue","4430-25-5","224-622-9","a) Substancja do farbowania włosów w utleniających produktach do farbowania włosów b) Substancja do farbowania włosów w nieutleniających produktach do farbowania włosów","b) Od dnia 3 czerwca 2021 r.: 0,2 %","a) Od dnia 3 czerwca 2021 r., po zmieszaniu w warunkach utleniających maksymalne stężenie stosowane na włosy nie może przekraczać 0,2 % (w przeliczeniu na wolną zasadę)","a) Od dnia 3 grudnia 2021 r. na etykiecie należy wydrukować: <br>Stosunek zmieszania. <br>„<i class='bi bi-exclamation-triangle piktogram'></i> Barwniki do włosów mogą wywoływać silne reakcje alergiczne.<br>Proszę przeczytać instrukcje i przestrzegać ich.<br>Produkt nie jest przeznaczony dla osób poniżej 16 roku życia.<br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii.<br>Nie farbować włosów, jeśli:<br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona,<br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów,<br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny.”"
"320","Indigofera tinctoria, suszone i sproszkowane liście Indigofera tinctoria L.","Indigofera tinctoria leaf Indigofera tinctoria leaf powder Indigofera tinctoria leaf extract Indigofera tinctoria extract","84775-63-3","283-892-6","Substancja do farbowania włosów w nieutleniających produktach do farbowania włosów","Od dnia 3 czerwca 2021 r.: 25 %",,
"321","Ditlenek tytanu w postaci proszku o zawartości co najmniej 1 % cząstek o średnicy aerodynamicznej ≤ 10 μm","Titanium Dioxide","13463-67-7 / 1317-70-0 / 1317-80-2","236-675-5 / 215-280-1 / 215-282-2","a) Produkty do twarzy w postaci sypkiego proszku <br>b) Produkty do włosów w aerozolu <br>c) Pozostałe produkty","a) 25 % <br>b) 1,4 % dla ogółu konsumentów oraz 1,1 % do stosowania profesjonalnego","a) b) Tylko w postaci pigmentowej <br>c) Nie do zastosowań, które mogąprowadzić do narażenia płuc użytkownika końcowego poprzez wdychanie",
"322","1,3-dihydroksy-2-propanon","Dihydroxyacetone","96-26-4","202-494-5","a) Substancja do farbowania włosów w nieutleniających produktach do farbowania włosów <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Od dnia 26 stycznia 2022 r. nie można wprowadzać do obrotu w Unii produktów do farbowania włosów i produktów samoopalających zawierających tę substancję i niespełniających wymogów określonych w ograniczeniach. Od dnia 22 kwietnia 2022 r. nie można udostępniać na rynku w Unii produktów do farbowania włosów i produktów samoopalających zawierających tę substancję i niespełniających wymogów określonych w ograniczeniach.'>(32)</span></sup> <br>b) Produkty samoopalające <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Od dnia 26 stycznia 2022 r. nie można wprowadzać do obrotu w Unii produktów do farbowania włosów i produktów samoopalających zawierających tę substancję i niespełniających wymogów określonych w ograniczeniach. Od dnia 22 kwietnia 2022 r. nie można udostępniać na rynku w Unii produktów do farbowania włosów i produktów samoopalających zawierających tę substancję i niespełniających wymogów określonych w ograniczeniach.'>(32)</span></sup>","a) 6,25 % <br>b) 10 %",,
"323","Methyl-N-methylanthranilate <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Począwszy od dnia 21 sierpnia 2022 r., nie wprowadza się do obrotu w Unii produktów kosmetycznych zawierających tę substancję i niespełniających wymogów określonych w ograniczeniach. Począwszy od dnia 21 listopada 2022 r., nie udostępnia się na rynku unijnym produktów kosmetycznych zawierających tę substancję i niespełniających wymogów określonych w ograniczeniach.'>(33)</span></sup>",,"85-91-6","201-642-6","a) Produkty niespłukiwane <br>b) Produkty spłukiwane","a) 0,1 % <br>b) 0,2 %","Dla a): Nie stosować w produktach przeciwsłonecznych ani we wprowadzanych do obrotu produktach poddawanych ekspozycji na naturalne lub sztuczne promieniowanie UV. <br>Dla a) i b): <br>— Nie używać z czynnikami nitrozującymi<br>— Maksymalna zawartość nitrozoaminy: 50 μg/kg<br>— Przechowywać w pojemnikach niezawierających azotynów",
"324","2-hydroksybenzoesan metylu <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Produkty kosmetyczne zawierające tę substancję, które nie spełniają wymogów określonych w ograniczeniach, można wprowadzać do obrotu w Unii – pod warunkiem że spełniają one wymogi określone w ograniczeniach obowiązujących w dniu 15 sierpnia 2023 r. – do dnia 31 lipca 2026 r. i udostępniać na rynku unijnym do dnia 31 lipca 2028 r.'>(38)</span></sup>","Methyl Salicylate","119-36-8","204-317-7","a) niespłukiwane produkty do skóry (z wyjątkiem produktów do makijażu twarzy, emulsji do ciała w aerozolu, dezodorantu w aerozolu i substancji zapachowych na bazie wodno-alkoholowej) oraz niespłukiwane produkty do włosów (z wyjątkiem produktów do rozpylania/w aerozolu) <br>b) produkty do makijażu twarzy (z wyjątkiem produktów do warg, makijażu oczu i środków do zmywania makijażu) <br>c) produkty do makijażu oczu i środki do zmywania makijażu <br>d) niespłukiwane produkty do włosów (do rozpylania/w aerozolu) <br>e) dezodorant do rozpylania/w aerozolu <br>f) emulsja do ciała do rozpylania/w aerozolu <br>g) spłukiwane produkty do pielęgnacji skóry (z wyjątkiem produktów do mycia rąk) i spłukiwane produkty do włosów <br>h) produkty do mycia rąk <br>i) substancje zapachowe na bazie wodno-alkoholowej <br>j) produkty do warg <br>k) pasta do zębów <br>l) produkt do płukania jamy ustnej przeznaczony dla dzieci w wieku 6-10 lat <br>m) produkt do płukania jamy ustnej przeznaczony dla dzieci powyżej 10. roku życia i dorosłych <br>n) aerozol do higieny jamy ustnej","a) 0,06 % <br>b) 0,05 % <br>c) 0,002 % <br>d) 0,009 % <br>e) 0,003 % <br>f) 0,04 % <br>g) 0,06 % <br>h) 0,6 % <br>i) 0,6 % <br>j) 0,03 % <br>k) 2,52 % <br>l) 0,1 % <br>m) 0,6 % <br>n) 0,65 %","Nie stosować w preparatach dla dzieci poniżej 6 lat, z wyjątkiem k) „pasta do zębów”. Obecność substancji musi być uwzględniona w wykazie składników, określonym w art. 19 ust. 1 lit. g), gdy jej stężenie przekracza: <br>— 0,001 % w produkcie niespłukiwanym <br>— 0,01 % w produkcie spłukiwanym.",
"325","2,6-Di-Tert-Butyl-4-Methylphenol <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Począwszy od dnia 1 lipca 2023 r., nie wprowadza się do obrotu w Unii produktów kosmetycznych zawierających tę substancję i niespełniających wymogów określonych w ograniczeniach. Począwszy od dnia 1 stycznia 2024 r., nie udostępnia się na rynku unijnym produktów kosmetycznych zawierających tę substancję i niespełniających wymogów określonych w ograniczeniach.'>(34)</span></sup>","Butylated Hydroxytoluene","128-37-0","204-881-4","a) Płyn do płukania jamy ustnej b) Pasta do zębów c) Pozostałe produkty niespłukiwane i spłukiwane","a) 0,001 % b) 0,1 % c) 0,8 %",,
"326","1H-Indene-1,3(2H)-dione, 2-(2-quinolinyl)-, sulfonated, sodium salts (CI 47005) <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Począwszy od dnia 1 lipca 2023 r., nie wprowadza się do obrotu w Unii nieutleniających produktów do farbowania włosów zawierających tę substancję i niespełniających wymogów określonych w ograniczeniach. Począwszy od dnia 1 stycznia 2024 r., nie udostępnia się na rynku unijnym nieutleniających produktów do farbowania włosów zawierających tę substancję i niespełniających wymogów określonych w ograniczeniach.'>(35)</span></sup> <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='W przypadku zastosowania jako barwnik zob. załącznik IV pozycja nr 82.'>(36)</span></sup>","Acid Yellow 3","8004-92-0","305-897-5","Nieutleniające produkty do farbowania włosów","0,5 %",,
"327","[3R-(3α,3aβ,7β,8aα)]-1-(2,3,4,7,8,8a-heksahydro-3,6,8,8-tetrametylo-1H-3a,7-metanoazulen-5-ylo)etan-1-on <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Produkty kosmetyczne zawierające tę substancję, które nie spełniają wymogów określonych w ograniczeniach, można wprowadzać do obrotu w Unii do dnia 31 lipca 2026 r. i udostępniać na rynku unijnym do dnia 31 lipca 2028 r.'>(40)</span></sup>","Acetyl Cedrene","32388-55-9","251-020-3",,,"Obecność substancji musi być uwzględniona w wykazie składników, określonym w art. 19 ust. 1 lit. g), gdy jej stężenie przekracza: <br>— 0,001 % w produkcie niespłukiwanym <br>— 0,01 % w produkcie spłukiwanym.",
"328","2-hydroksybenzoesan pentylu <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Produkty kosmetyczne zawierające tę substancję, które nie spełniają wymogów określonych w ograniczeniach, można wprowadzać do obrotu w Unii do dnia 31 lipca 2026 r. i udostępniać na rynku unijnym do dnia 31 lipca 2028 r.'>(40)</span></sup>","Amyl Salicylate","2050-08-0","218-080-2",,,"Obecność substancji musi być uwzględniona w wykazie składników, określonym w art. 19 ust. 1 lit. g), gdy jej stężenie przekracza: <br>— 0,001 % w produkcie niespłukiwanym <br>— 0,01 % w produkcie spłukiwanym.",
"329","1-metoksy-4-(1E)-1-propen-1-ylobenzen (transanetol) <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Produkty kosmetyczne zawierające tę substancję, które nie spełniają wymogów określonych w ograniczeniach, można wprowadzać do obrotu w Unii do dnia 31 lipca 2026 r. i udostępniać na rynku unijnym do dnia 31 lipca 2028 r.'>(40)</span></sup>","Anethole","104-46-1 / 4180-23-8","203-205-5 / 224-052-0",,,"Obecność substancji musi być uwzględniona w wykazie składników, określonym w art. 19 ust. 1 lit. g), gdy jej stężenie przekracza: <br>— 0,001 % w produkcie niespłukiwanym <br>— 0,01 % w produkcie spłukiwanym.",
"330","Benzaldehyd <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Produkty kosmetyczne zawierające tę substancję, które nie spełniają wymogów określonych w ograniczeniach, można wprowadzać do obrotu w Unii do dnia 31 lipca 2026 r. i udostępniać na rynku unijnym do dnia 31 lipca 2028 r.'>(40)</span></sup>","Benzaldehyde","100-52-7","202-860-4",,,"Obecność substancji musi być uwzględniona w wykazie składników, określonym w art. 19 ust. 1 lit. g), gdy jej stężenie przekracza: <br>— 0,001 % w produkcie niespłukiwanym <br>— 0,01 % w produkcie spłukiwanym.",
"331","Bornan-2-on; 1,7,7-trimetylobicyklo[2.2.1]-2-heptanon <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Produkty kosmetyczne zawierające tę substancję, które nie spełniają wymogów określonych w ograniczeniach, można wprowadzać do obrotu w Unii do dnia 31 lipca 2026 r. i udostępniać na rynku unijnym do dnia 31 lipca 2028 r.'>(40)</span></sup>","Camphor","76-22-2 / 21368-68-3 / 464-49-3 / 464-48-2","200-945-0 / 244-350-4 / 207-355-2 / 207-354-7",,,"Obecność substancji musi być uwzględniona w wykazie składników, określonym w art. 19 ust. 1 lit. g), gdy jej stężenie przekracza: <br>— 0,001 % w produkcie niespłukiwanym <br>— 0,01 % w produkcie spłukiwanym.",
"332","(1R,4E,9S)-4,11,11-trimetylo-8-metylenobicyklo[7.2.0]undec-4-en <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Produkty kosmetyczne zawierające tę substancję, które nie spełniają wymogów określonych w ograniczeniach, można wprowadzać do obrotu w Unii do dnia 31 lipca 2026 r. i udostępniać na rynku unijnym do dnia 31 lipca 2028 r.'>(40)</span></sup>","Beta-Caryophyllene","87-44-5","201-746-1",,,"Obecność substancji musi być uwzględniona w wykazie składników, określonym w art. 19 ust. 1 lit. g), gdy jej stężenie przekracza: <br>— 0,001 % w produkcie niespłukiwanym <br>— 0,01 % w produkcie spłukiwanym.",
"333","2-metylo-5-(prop-1-en-2-ylo)cykloheks-2-en-1-on; (5R)-2-metylo-5-prop-1-en-2-ylcykloheks-2-en-1-on; (5S)-2-metylo-5-prop-1-en-2-ylcykloheks-2-en-1-on <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Produkty kosmetyczne zawierające tę substancję, które nie spełniają wymogów określonych w ograniczeniach, można wprowadzać do obrotu w Unii do dnia 31 lipca 2026 r. i udostępniać na rynku unijnym do dnia 31 lipca 2028 r.'>(40)</span></sup>","Carvone","99-49-0 / 6485-40-1 / 2244-16-8","202-759-5 / 229-352-5 / 218-827-2",,,"Obecność substancji musi być uwzględniona w wykazie składników, określonym w art. 19 ust. 1 lit. g), gdy jej stężenie przekracza: <br>— 0,001 % w produkcie niespłukiwanym <br>— 0,01 % w produkcie spłukiwanym.",
"334","Octan 2-metylo-1-fenylo-2-propylu; octan dimetylobenzylokarbinylu <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Produkty kosmetyczne zawierające tę substancję, które nie spełniają wymogów określonych w ograniczeniach, można wprowadzać do obrotu w Unii do dnia 31 lipca 2026 r. i udostępniać na rynku unijnym do dnia 31 lipca 2028 r.'>(40)</span></sup>","Dimethyl Phenethyl Acetate","151-05-3","205-781-3",,,"Obecność substancji musi być uwzględniona w wykazie składników, określonym w art. 19 ust. 1 lit. g), gdy jej stężenie przekracza: <br>— 0,001 % w produkcie niespłukiwanym <br>— 0,01 % w produkcie spłukiwanym.",
"335","Oksacykloheptadekan-2-on <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Produkty kosmetyczne zawierające tę substancję, które nie spełniają wymogów określonych w ograniczeniach, można wprowadzać do obrotu w Unii do dnia 31 lipca 2026 r. i udostępniać na rynku unijnym do dnia 31 lipca 2028 r.'>(40)</span></sup>","Hexadecanolactone","109-29-5","203-662-0",,,"Obecność substancji musi być uwzględniona w wykazie składników, określonym w art. 19 ust. 1 lit. g), gdy jej stężenie przekracza: <br>— 0,001 % w produkcie niespłukiwanym <br>— 0,01 % w produkcie spłukiwanym.",
"336","1,3,4,6,7,8-heksahydro-4,6,6,7,8,8-heksametylocyklopenta-γ-2-benzopiran <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Produkty kosmetyczne zawierające tę substancję, które nie spełniają wymogów określonych w ograniczeniach, można wprowadzać do obrotu w Unii do dnia 31 lipca 2026 r. i udostępniać na rynku unijnym do dnia 31 lipca 2028 r.'>(40)</span></sup>","Hexamethylindanopyran","1222-05-5","214-946-9",,,"Obecność substancji musi być uwzględniona w wykazie składników, określonym w art. 19 ust. 1 lit. g), gdy jej stężenie przekracza: <br>— 0,001 % w produkcie niespłukiwanym <br>— 0,01 % w produkcie spłukiwanym.",
"337","Octan 3,7-dimetylo-1,6-oktadien-3-ylu <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Produkty kosmetyczne zawierające tę substancję, które nie spełniają wymogów określonych w ograniczeniach, można wprowadzać do obrotu w Unii do dnia 31 lipca 2026 r. i udostępniać na rynku unijnym do dnia 31 lipca 2028 r.'>(40)</span></sup>","Linalyl Acetate","115-95-7","204-116-4",,,"Obecność substancji musi być uwzględniona w wykazie składników, określonym w art. 19 ust. 1 lit. g), gdy jej stężenie przekracza: <br>— 0,001 % w produkcie niespłukiwanym <br>— 0,01 % w produkcie spłukiwanym.",
"338","Mentol; dl-mentol; l-mentol; d-mentol <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Produkty kosmetyczne zawierające tę substancję, które nie spełniają wymogów określonych w ograniczeniach, można wprowadzać do obrotu w Unii do dnia 31 lipca 2026 r. i udostępniać na rynku unijnym do dnia 31 lipca 2028 r.'>(40)</span></sup>","Menthol","89-78-1 / 1490-04-6 / 2216-51-5 / 15356-60-2","201-939-0 / 216-074-4 / 218-690-9 / 239-387-8",,,"Obecność substancji musi być uwzględniona w wykazie składników, określonym w art. 19 ust. 1 lit. g), gdy jej stężenie przekracza: <br>— 0,001 % w produkcie niespłukiwanym <br>— 0,01 % w produkcie spłukiwanym.",
"339","3-metylo-5-(2,2,3-trimetylo-3-cyklopentenylo)pent-4-en-2-ol <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Produkty kosmetyczne zawierające tę substancję, które nie spełniają wymogów określonych w ograniczeniach, można wprowadzać do obrotu w Unii do dnia 31 lipca 2026 r. i udostępniać na rynku unijnym do dnia 31 lipca 2028 r.'>(40)</span></sup>","Trimethylcyclopentenyl Methylisopentenol","67801-20-1","267-140-4",,,"Obecność substancji musi być uwzględniona w wykazie składników, określonym w art. 19 ust. 1 lit. g), gdy jej stężenie przekracza: <br>— 0,001 % w produkcie niespłukiwanym <br>— 0,01 % w produkcie spłukiwanym.",
